Square ID	count all	cluster 0	cluster 1	cluster 2	Undefined
3877_1_3_3_3_2	21	1	2	3	5
3877_1_3_1_3_0	27	1	4	1	8
3877_0_2_2_0_3	8	1	0	1	2
3877_0_2_2_2_1	13	1	4	0	3
3877_0_2_1_2_2	10	1	1	1	3
3877_0_1_2_0	1	0	0	1	0
3877_1_2_0_1_0	2	0	0	0	1
3877_1_3_1_1_2	3	1	0	1	0
3877_1_0_0_0	4	0	0	1	2
3877_0_1_2_2	19	1	1	3	6
3877_1_0_2_0_1	6	0	0	2	1
3877_0_2_1_1_3	9	0	0	5	1
3877_3_1_2_0	1	0	0	1	0
3877_2_0_0_0_1	8	1	0	2	2
3877_1_3_0_3_3_0	1	0	0	1	0
3877_1_3_0_3_3_2	1	0	0	0	0
3877_0_1_1_3	1	1	0	0	0
3877_1_3_3_1_0_3	4	0	0	0	3
3877_1_3_3_0_1_3	3	0	0	0	0
3877_1_1_3_2	2	0	0	1	1
3877_1_3_0_3_1	16	0	4	1	3
3877_1_0_3_0_2	25	1	4	8	3
3877_0_2_0_0	1	0	0	0	0
3877_1_3_3_1_3_3	7	0	0	2	1
3877_0_2_2_1_2	3	0	0	2	0
3877_1_0_2_1_3	10	0	0	4	2
3877_1_2_3_0	3	0	1	0	1
3877_2_0_0_2	12	0	0	3	3
3877_1_0_2_0_3	2	0	0	0	1
3877_1_3_1_3_1	4	0	1	1	1
3877_1_3_3_0_0	14	1	2	5	2
3877_1_3_3_0_1_0	3	0	0	0	0
3877_1_0_3_2_0	17	1	3	3	3
3877_1_3_3_0_3	11	0	4	2	0
3877_0_2_2_1_1	10	0	2	2	1
3877_1_3_1_2_3	13	0	3	3	0
3877_1_3_2_3	14	1	4	2	1
3877_3_1_1_2	1	0	0	0	0
3877_0_2_2_0_2	1	1	0	0	0
3877_1_3_0_3_2_3	11	0	4	0	1
3877_1_3_1_3_3	20	0	6	5	0
3877_1_0_3_3_2	10	0	1	2	3
3877_1_0_3_0_1	13	0	1	2	3
3877_0_2_1_0_1	5	0	0	1	3
3877_2_0_3_0	1	0	0	0	0
3877_1_3_0_0_3_3	11	1	3	2	3
3877_0_2_1_2_3	2	0	1	0	0
3877_0_2_1_3_0	19	0	5	3	7
3877_0_2_2_3_1	12	0	0	2	4
3877_1_2_0_2	9	0	2	1	2
3877_0_1_2_1	9	2	3	0	2
3877_1_1_3_3_3	1	0	0	0	0
3877_0_2_2_2_0	18	3	0	6	5
3877_1_3_2_0	47	2	2	10	15
3877_3_1_1_3	2	0	0	0	0
3877_1_0_1_3	4	0	1	0	2
3877_1_3_3_3_3	10	0	3	0	1
3877_1_3_1_2_1	2	0	0	0	2
3877_3_1_0_0	4	0	2	1	0
3877_0_2_2_0_1	15	1	2	0	2
3877_1_0_3_0_3	27	0	3	6	7
3877_0_2_0_1_3	7	1	2	1	2
3877_0_2_2_2_2	3	1	0	1	0
3877_1_0_3_2_3	26	2	5	3	8
3877_1_3_3_3_0	5	1	0	1	1
3877_1_0_2_3_0	5	0	0	0	0
3877_1_3_3_3_1	13	0	1	1	8
3877_1_3_1_1_1	14	1	2	4	2
3877_1_3_0_3_0_1	12	1	2	3	0
3877_0_2_1_2_1	14	0	2	3	2
3877_1_0_1_2	11	2	3	2	1
3877_1_0_2_0_2	12	0	2	1	6
3877_1_0_3_3_0	11	0	0	1	5
3877_1_3_0_0_3_1	8	0	2	1	2
3877_1_3_3_0_2_3	1	0	0	1	0
3877_1_2_0_3	16	0	2	1	1
3877_1_0_3_3_1	26	2	2	7	5
3877_1_3_0_0_2	23	2	2	3	9
3877_1_3_0_2_3_0	8	0	2	1	1
3877_1_2_0_1_3	5	0	2	0	0
3877_0_2_1_0_0	1	1	0	0	0
3877_1_0_3_1_3	11	0	0	3	2
3877_2_0_0_3	36	2	4	9	7
3877_1_3_0_2_3_3	4	1	2	0	0
3877_1_3_3_1_0_0	5	0	1	0	1
3877_1_1_3_0	2	0	0	1	1
3877_1_0_2_2_0	4	0	0	0	1
3877_3_1_1_1	4	0	0	1	0
3877_3_0_1	1	0	0	1	0
3877_1_1_3_1	7	0	1	2	1
3877_1_3_1_1_0	1	0	0	0	0
3877_1_3_1_3_2	9	1	1	1	2
